Jenjang	Sekolah	Kecematan	1	2	3	4	5	6	7	8	9	10	11	12	13	
SD	SD NEGERI 10 ELA	Kec. Ujung Bulu	22	28	33	31	47	31	-	-	-	-	-	-	-	
SD	SD ISLAM TERPADU WAHDAH ISLAMIYAH BULUKUMBA	Kec. Ujung Bulu	56	44	30	34	21	29	-	-	-	-	-	-	-	
SD	SD NEGERI 169 TOKALA	Kec. Bontobahari	25	15	13	13	8	13	-	-	-	-	-	-	-	
SD	SD NEGERI 238 MATTOANGING	Kec. Bulukumpa	9	13	13	15	7	4	-	-	-	-	-	-	-	
SD	SD NEGERI 331 BORONG TELLU	Kec. Gantarang	24	20	30	24	14	17	-	-	-	-	-	-	-	
SD	SD NEGERI 48 GANTING.	Kec. Kindang	19	20	20	20	16	12	-	-	-	-	-	-	-	
SD	SD NEGERI 139 LAMANDA	Kec. Bontotiro	16	21	23	14	16	22	-	-	-	-	-	-	-	
SD	SD NEGERI 208 KINDANG	Kec. Kindang	24	21	28	19	30	29	-	-	-	-	-	-	-	
SD	SD NEGERI 112 BARANG	Kec. Kajang	19	17	11	19	17	18	-	-	-	-	-	-	-	
SD	SD NEGERI 224 GARANTA	Kec. Ujung Loe	37	27	35	27	25	29	-	-	-	-	-	-	-	
SD	SD NEGERI 291 LOBI	Kec. Bontotiro	14	12	11	12	6	9	-	-	-	-	-	-	-	
SD	SD NEGERI 335 KACIBO	Kec. Rilau Ale	20	13	11	13	12	7	-	-	-	-	-	-	-	
SD	SD NEGERI 341 BATU	Kec. Herlang	6	10	12	10	14	5	-	-	-	-	-	-	-	
SD	SD NEGERI 132 BABALOHE	Kec. Herlang	14	16	16	15	17	12	-	-	-	-	-	-	-	
SD	SD NEGERI 5 APPASARENGE	Kec. Ujung Bulu	21	31	26	32	27	24	-	-	-	-	-	-	-	
SD	SD NEGERI 168 DANGKE	Kec. Bontobahari	15	12	13	14	17	17	-	-	-	-	-	-	-	
SD	SD NEGERI 347 TABBINGSITOA	Kec. Bontotiro	5	5	4	6	9	8	-	-	-	-	-	-	-	
SD	SD NEGERI 159 LIMBUA	Kec. Bontobahari	20	14	12	19	17	14	-	-	-	-	-	-	-	
SD	SD NEGERI 144 BUHUNGLANTANG	Kec. Bontotiro	12	14	13	17	15	13	-	-	-	-	-	-	-	
SD	SD NEGERI 334 BINUANG	Kec. Bulukumpa	5	8	11	7	7	9	-	-	-	-	-	-	-	
SD	SD NEGERI 152 JATIA	Kec. Bontotiro	7	14	18	13	17	14	-	-	-	-	-	-	-	
SD	SD NEGERI 332 PULONGGO	Kec. Bulukumpa	8	2	4	7	7	5	-	-	-	-	-	-	-	
SD	SD NEGERI 339 DUMPU	Kec. Kajang	16	12	15	25	9	19	-	-	-	-	-	-	-	
SD	SD NEGERI 126 BORONG	Kec. Herlang	9	9	7	9	21	0	-	-	-	-	-	-	-	
SD	SD NEGERI 239 SARAJOKO	Kec. Bulukumpa	14	25	13	11	8	11	-	-	-	-	-	-	-	
SD	SD NEGERI 323 TOKOMBENG	Kec. Ujung Loe	20	29	21	24	14	22	-	-	-	-	-	-	-	
SD	SD NEGERI 163 ARA	Kec. Bontobahari	36	30	22	20	23	20	-	-	-	-	-	-	-	
SD	SD NEGERI 234 MATTIROWALIE	Kec. Kindang	21	18	27	29	29	27	-	-	-	-	-	-	-	
SD	SD NEGERI 258 SAKUI KUI	Kec. Bontotiro	13	13	10	12	14	9	-	-	-	-	-	-	-	
SD	SD NEGERI 309 DUMPU	Kec. Kajang	11	19	16	18	13	14	-	-	-	-	-	-	-	
SD	SD NEGERI 76 BARUGA RIATTANG	Kec. Bulukumpa	15	16	16	13	26	16	-	-	-	-	-	-	-	
SD	SD NEGERI 23 PADANGLOANG	Kec. Ujung Loe	40	28	25	35	27	19	-	-	-	-	-	-	-	
SD	SD NEGERI 241 BARUGAE	Kec. Bulukumpa	14	11	13	12	14	14	-	-	-	-	-	-	-	
SD	SD NEGERI 142 PAKUBALAHO	Kec. Bontotiro	10	20	16	12	11	17	-	-	-	-	-	-	-	
SD	SD NEGERI 108 GANTA	Kec. Kajang	20	11	22	20	30	21	-	-	-	-	-	-	-	
SD	SD NEGERI 218 BATANG	Kec. Bontotiro	12	14	12	9	12	10	-	-	-	-	-	-	-	
SD	SD NEGERI 209 TANETE	Kec. Bulukumpa	15	20	24	14	11	11	-	-	-	-	-	-	-	
SD	SD NEGERI 107 MACCINI	Kec. Kajang	22	26	23	35	28	24	-	-	-	-	-	-	-	
SD	SD NEGERI 111 KASSIBUTA	Kec. Kajang	47	35	42	34	36	32	-	-	-	-	-	-	-	
SD	SD NEGERI 83 PANGI	Kec. Rilau Ale	29	28	32	38	35	19	-	-	-	-	-	-	-	
SD	SD NEGERI 99 SALASSAE	Kec. Bulukumpa	13	10	12	17	12	13	-	-	-	-	-	-	-	
SD	SD NEGERI 117 LEMBANG TUMBU	Kec. Herlang	18	11	18	15	25	19	-	-	-	-	-	-	-	
SD	SD NEGERI 44 DAMPANG	Kec. Gantarang	38	36	29	46	44	42	-	-	-	-	-	-	-	
SD	SD NEGERI 203 BONTOMACINNA	Kec. Gantarang	26	23	27	36	32	30	-	-	-	-	-	-	-	
SD	SD NEGERI 39 BONTO NYELENG	Kec. Gantarang	35	30	44	41	34	28	-	-	-	-	-	-	-	
SD	SD NEGERI 154 TULEKKO	Kec. Bontotiro	4	9	9	13	20	11	-	-	-	-	-	-	-	
SD	SD NEGERI 38 GATTARENG	Kec. Gantarang	59	21	37	39	36	24	-	-	-	-	-	-	-	
SD	SD NEGERI 85 BINGKARONGO	Kec. Rilau Ale	22	31	22	28	25	25	-	-	-	-	-	-	-	
SD	SD NEGERI 46 MATTIROWALIE	Kec. Kindang	27	25	25	25	25	23	-	-	-	-	-	-	-	
SD	SD NEGERI 40 BONTO NYELENG	Kec. Gantarang	27	21	19	22	15	14	-	-	-	-	-	-	-	
SD	SD NEGERI 271 GARANTA	Kec. Ujung Loe	21	16	13	17	16	11	-	-	-	-	-	-	-	
SD	SD NEGERI 47 ANRIHUA.	Kec. Kindang	18	18	25	21	13	28	-	-	-	-	-	-	-	
SD	SD NEGERI 318 KARRINGA	Kec. Herlang	14	13	12	10	10	11	-	-	-	-	-	-	-	
SD	SD NEGERI 269 BALLEANGING	Kec. Ujung Loe	32	27	28	25	22	21	-	-	-	-	-	-	-	
SD	SD NEGERI 101 KAJANG II	Kec. Kajang	32	42	32	44	26	25	-	-	-	-	-	-	-	
SD	SD NEGERI 225 ALLU	Kec. Ujung Loe	21	21	21	21	17	22	-	-	-	-	-	-	-	
SD	SD NEGERI 36 BONTOSUNGGU	Kec. Gantarang	19	10	17	15	10	22	-	-	-	-	-	-	-	
SD	SD NEGERI 305 TA GENTUNG	Kec. Bulukumpa	9	9	5	9	9	14	-	-	-	-	-	-	-	
SD	SD NEGERI 177 BATUASANG	Kec. Herlang	14	10	14	18	15	18	-	-	-	-	-	-	-	
SD	SD NEGERI 183 GARANTA	Kec. Ujung Loe	29	25	35	45	33	28	-	-	-	-	-	-	-	
SD	SD NEGERI 66 BALANGRIRI	Kec. Bulukumpa	14	16	18	21	15	20	-	-	-	-	-	-	-	
SD	SD NEGERI 79 LAJAE	Kec. Bulukumpa	18	30	24	32	31	21	-	-	-	-	-	-	-	
SD	SD NEGERI 261 BILAMPOROA	Kec. Bontotiro	10	12	11	11	12	9	-	-	-	-	-	-	-	
SD	SD NEGERI 84 PANGI	Kec. Rilau Ale	18	22	10	27	21	22	-	-	-	-	-	-	-	
SD	SD NEGERI 34 BIALO	Kec. Gantarang	23	20	20	21	8	15	-	-	-	-	-	-	-	
SD	SD NEGERI 133 HILA	Kec. Bontotiro	10	10	9	18	10	10	-	-	-	-	-	-	-	
SD	SD NEGERI 349 MAMPUA	Kec. Ujung Loe	11	6	7	11	7	12	-	-	-	-	-	-	-	
SD	SD NEGERI 146 MATTOANGIN	Kec. Bontotiro	10	17	21	20	16	21	-	-	-	-	-	-	-	
SD	SD NEGERI 16 ULUTEDONG	Kec. Ujung Loe	43	45	46	57	53	56	-	-	-	-	-	-	-	
SD	SD NEGERI 29 BONTOMACINNA	Kec. Gantarang	26	29	39	41	21	24	-	-	-	-	-	-	-	
SD	SD NEGERI 80 BULUKUMPA	Kec. Bulukumpa	29	30	19	40	22	26	-	-	-	-	-	-	-	
SD	SD NEGERI 61 BALLEANGING	Kec. Bulukumpa	23	14	18	22	15	17	-	-	-	-	-	-	-	
SD	SD NEGERI 106 LABOJO	Kec. Kajang	8	16	18	13	17	18	-	-	-	-	-	-	-	
SD	SD NEGERI 82 PALAMPANG	Kec. Rilau Ale	30	21	22	24	32	18	-	-	-	-	-	-	-	
SD	SD NEGERI 3 KASIMPURENG	Kec. Ujung Bulu	107	76	89	91	75	93	-	-	-	-	-	-	-	
SD	SD NEGERI 160TARAMPANG	Kec. Bontobahari	42	54	42	30	31	44	-	-	-	-	-	-	-	
SD	SD NEGERI 221 TANAHKONGKONG	Kec. Ujung Bulu	95	80	84	84	73	63	-	-	-	-	-	-	-	
SD	SD NEGERI 136 SALOBUNDANG	Kec. Bontotiro	13	20	20	19	7	14	-	-	-	-	-	-	-	
SD	SD NEGERI 92 PANGALLOANG	Kec. Rilau Ale	26	23	12	23	14	17	-	-	-	-	-	-	-	
SD	SD NEGERI 248 LAIKANG	Kec. Kajang	10	15	11	10	16	20	-	-	-	-	-	-	-	
SD	SD NEGERI 298 CABALU	Kec. Gantarang	18	16	16	19	15	19	-	-	-	-	-	-	-	
SD	SD NEGERI 14 BABANA	Kec. Ujung Loe	45	56	63	40	56	49	-	-	-	-	-	-	-	
SD	SD NEGERI 11 KALUMEME	Kec. Ujung Bulu	47	37	49	47	51	50	-	-	-	-	-	-	-	
SD	SD NEGERI 304 BATUHULANG	Kec. Bulukumpa	9	16	16	18	17	12	-	-	-	-	-	-	-	
SD	SD NEGERI 69 ANNISIA	Kec. Bulukumpa	14	15	16	21	13	16	-	-	-	-	-	-	-	
SD	SD NEGERI 170 LIUKANG LOE	Kec. Bontobahari	7	14	12	16	17	14	-	-	-	-	-	-	-	
SD	SD NEGERI 68 TIBONA	Kec. Bulukumpa	20	21	34	28	20	32	-	-	-	-	-	-	-	
SD	SD NEGERI 240 HARUE	Kec. Bulukumpa	10	14	10	11	10	11	-	-	-	-	-	-	-	
SD	SD NEGERI 259 SAMBOANG	Kec. Bontotiro	6	6	11	9	11	11	-	-	-	-	-	-	-	
SD	SD NEGERI 273 BORONGRAPPOA	Kec. Kindang	21	23	19	17	17	19	-	-	-	-	-	-	-	
SD	SD NEGERI 232 DAMPANG	Kec. Gantarang	19	17	20	22	18	24	-	-	-	-	-	-	-	
SD	SD NEGERI 344 ALORANG	Kec. Herlang	10	14	15	15	12	11	-	-	-	-	-	-	-	
SD	SD NEGERI 289 TALUMAYA	Kec. Bontotiro	10	14	10	11	7	9	-	-	-	-	-	-	-	
SD	SD NEGERI NO 93 MARANA	Kec. Rilau Ale	8	16	8	12	9	10	-	-	-	-	-	-	-	
SD	SD NEGERI 96 GALUNG BODDONG	Kec. Bulukumpa	6	7	11	6	4	2	-	-	-	-	-	-	-	
SD	SD NEGERI 303 PALIPUNGANG	Kec. Rilau Ale	5	10	14	15	7	16	-	-	-	-	-	-	-	
SD	SD NEGERI 237 LEMBANG	Kec. Bulukumpa	9	24	26	24	27	23	-	-	-	-	-	-	-	
SD	SD NEGERI 317 BORONG	Kec. Herlang	6	5	5	9	6	7	-	-	-	-	-	-	-	
SD	SD NEGERI 140 KALERASANG	Kec. Bontotiro	10	3	9	7	4	14	-	-	-	-	-	-	-	
SD	SD NEGERI 12 BABANA	Kec. Ujung Loe	22	23	23	20	23	20	-	-	-	-	-	-	-	
SD	SD NEGERI 119 KARASSING	Kec. Herlang	14	21	18	26	20	17	-	-	-	-	-	-	-	
SD	SD NEGERI 322 ELA	Kec. Ujung Bulu	25	15	26	22	14	17	-	-	-	-	-	-	-	
SD	SD NEGERI 174 ANRIHUA	Kec. Kindang	41	31	33	30	28	11	-	-	-	-	-	-	-	
SD	SD NEGERI 314 MARANA	Kec. Herlang	19	10	12	12	10	9	-	-	-	-	-	-	-	
SD	SD NEGERI 197 SAPOLOHE	Kec. Bontobahari	43	46	40	42	37	36	-	-	-	-	-	-	-	
SD	SD NEGERI 299 BONTO MACINNA	Kec. Gantarang	24	18	20	23	20	12	-	-	-	-	-	-	-	
SD	SD NEGERI 166 BIRA	Kec. Bontobahari	13	12	19	21	13	16	-	-	-	-	-	-	-	
SD	SD NEGERI 102 LAIKANG	Kec. Kajang	15	10	12	10	18	11	-	-	-	-	-	-	-	
SD	SD NEGERI 292 BIRA	Kec. Bontobahari	5	8	6	11	6	9	-	-	-	-	-	-	-	
SD	SD NEGERI 28 BONTOMACINNA	Kec. Gantarang	14	15	12	11	9	9	-	-	-	-	-	-	-	
SD	SD NEGERI 308 BUNGAYA	Kec. Kajang	9	4	9	6	9	4	-	-	-	-	-	-	-	
SD	SD NEGERI 278 PAKOMBONG	Kec. Bulukumpa	25	26	17	24	21	27	-	-	-	-	-	-	-	
SD	SD NEGERI 125 SALIBANG	Kec. Herlang	5	8	8	16	21	19	-	-	-	-	-	-	-	
SD	SD NEGERI 156 KALUKUBODO	Kec. Bontobahari	14	9	9	9	17	10	-	-	-	-	-	-	-	
SD	SD NEGERI 43 MATTIROWALIE.	Kec. Kindang	34	28	35	35	26	37	-	-	-	-	-	-	-	
SD	SD NEGERI 189 BARUGAE	Kec. Bulukumpa	49	28	52	46	43	35	-	-	-	-	-	-	-	
SD	SD NEGERI 37 PALAMBARAE	Kec. Gantarang	36	47	47	51	42	44	-	-	-	-	-	-	-	
SD	SD NEGERI 231 BONTONYELENG	Kec. Gantarang	15	7	7	7	8	4	-	-	-	-	-	-	-	
SD	SD NEGERI 54 CAMPAGA	Kec. Kindang	20	17	22	22	23	25	-	-	-	-	-	-	-	
SD	SD NEGERI 275 GATTARENG	Kec. Gantarang	14	8	7	12	10	6	-	-	-	-	-	-	-	
SD	SD NEGERI 214 LOLISANG	Kec. Kajang	24	36	25	33	27	29	-	-	-	-	-	-	-	
SD	SD NEGERI NO 279 TALLE	Kec. Rilau Ale	27	10	22	29	37	19	-	-	-	-	-	-	-	
SD	SD NEGERI 272 BALLEANGING	Kec. Ujung Loe	40	22	32	27	50	25	-	-	-	-	-	-	-	
SD	SD NEGERI 330 RAOE	Kec. Gantarang	15	8	14	18	16	13	-	-	-	-	-	-	-	
SD	SD NEGERI 230 PALAMBARAE	Kec. Gantarang	64	62	48	50	47	36	-	-	-	-	-	-	-	
SD	SD NEGERI 121 EREINUNG	Kec. Herlang	3	5	14	7	9	5	-	-	-	-	-	-	-	
SD	SD NEGERI 333 TIBONA	Kec. Bulukumpa	18	10	9	13	20	12	-	-	-	-	-	-	-	
SD	SD NEGERI 217 KARASSING	Kec. Herlang	5	20	16	14	12	17	-	-	-	-	-	-	-	
SD	SD NEGERI 49 BORONGRAPPOA.	Kec. Kindang	27	29	43	27	22	25	-	-	-	-	-	-	-	
SD	SD NEGERI 268 JANNAKEKE	Kec. Bontotiro	6	5	11	10	9	5	-	-	-	-	-	-	-	
SD	SD NEGERI 229 GATTARENG	Kec. Gantarang	21	17	23	23	23	11	-	-	-	-	-	-	-	
SD	SD NEGERI 32 BARABBA	Kec. Gantarang	30	30	20	15	21	28	-	-	-	-	-	-	-	
SD	SD NEGERI 114 MALLELENG	Kec. Kajang	12	18	21	21	17	12	-	-	-	-	-	-	-	
SD	SD NEGERI 75 PETTUNGE	Kec. Bulukumpa	9	14	10	12	13	18	-	-	-	-	-	-	-	
SD	SD NEGERI 316 LASSANRU	Kec. Herlang	20	18	23	17	25	18	-	-	-	-	-	-	-	
SD	SD NEGERI 78 BONTOA	Kec. Bulukumpa	11	14	20	20	14	18	-	-	-	-	-	-	-	
SD	SD NEGERI 115 BALAGANA	Kec. Kajang	29	34	44	36	36	49	-	-	-	-	-	-	-	
SD	SD NEGERI 204 GATTARENG	Kec. Gantarang	18	18	12	22	17	15	-	-	-	-	-	-	-	
SD	SD NEGERI 155 TANAH BERU	Kec. Bontobahari	31	33	33	34	45	36	-	-	-	-	-	-	-	
SD	SD NEGERI 207 DAMPANG	Kec. Gantarang	13	18	11	15	14	17	-	-	-	-	-	-	-	
SD	SD NEGERI 71 BARUGAE	Kec. Bulukumpa	13	15	15	13	16	20	-	-	-	-	-	-	-	
SD	SD NEGERI 243 ELLEE	Kec. Bulukumpa	25	25	27	25	29	30	-	-	-	-	-	-	-	
SD	SD NEGERI 8 NIPA	Kec. Ujung Bulu	25	20	24	21	22	28	-	-	-	-	-	-	-	
SD	SD NEGERI 285 DASSA	Kec. Kajang	13	13	20	16	25	15	-	-	-	-	-	-	-	
SD	SD NEGERI 89 BATU KAROPA	Kec. Rilau Ale	21	20	24	26	24	25	-	-	-	-	-	-	-	
SD	SD NEGERI 338 JAMPANG	Kec. Kajang	21	21	22	31	20	20	-	-	-	-	-	-	-	
SD	SD NEGERI 77 BONTOBAJU	Kec. Bulukumpa	11	7	9	5	7	12	-	-	-	-	-	-	-	
SD	SD NEGERI 235 BORONGRAPPOA	Kec. Kindang	9	10	9	6	9	10	-	-	-	-	-	-	-	
SD	SD NEGERI 55 CIBOLLO	Kec. Kindang	22	22	22	22	18	18	-	-	-	-	-	-	-	
SD	SD NEGERI 205 BONTOSUNGGU	Kec. Gantarang	34	19	29	26	23	31	-	-	-	-	-	-	-	
SD	SD NEGERI 193 TANUNTUNG	Kec. Herlang	22	18	19	21	16	19	-	-	-	-	-	-	-	
SD	SD NEGERI 348 DOAJANG	Kec. Bontobahari	23	20	38	40	30	29	-	-	-	-	-	-	-	
SD	SD NEGERI 195 EKATIRO	Kec. Bontotiro	10	9	10	5	11	11	-	-	-	-	-	-	-	
SLB	SLBS ABCD DARMAWANITA HERLANG	Kec. Herlang	10	7	6	4	3	4	2	3	3	3	5	3	-	
SLB	SLB NEGERI BULUKUMBA	Kec. Ujung Bulu	12	7	10	15	16	3	8	6	6	4	4	2	-	
