Jenjang,Sekolah,Kecematan,PNS,GTT,GTY,Honor
SD,SD NEGERI 173 MATEKKO,Kec. Gantarang,10,0,0,8
SD,SD NEGERI 325 JATIA,Kec. Ujung Loe,4,0,0,5
SD,SD NEGERI 63 CILALLANG,Kec. Bulukumpa,3,0,0,2
SD,SD NEGERI 216 LEMBANNA,Kec. Kajang,3,0,0,5
SD,SD NEGERI 4 BENTENGE,Kec. Ujung Bulu,9,0,0,4
SD,SD NEGERI 52 GARUNTUNGAN.,Kec. Kindang,6,0,0,3
SD,SD NEGERI 250 KOLI,Kec. Kajang,3,0,0,5
SD,SDN 1 TERANG,Kec. Ujung Bulu,8,0,0,1
SD,SD NEGERI 246 BONTOMANAI,Kec. Rilau Ale,8,0,0,4
SD,SD NEGERI 253 TANUNTUNG,Kec. Herlang,7,0,0,3
SD,SD NEGERI 321 ARA,Kec. Bontobahari,6,0,0,2
SD,SD NEGERI 42 GATTARENG,Kec. Gantarang,4,0,0,9
SD,SD NEGERI . 280 BONTOMINASA,Kec. Bulukumpa,4,0,0,5
SD,SD NEGERI 18 PALANGISANG,Kec. Ujung Loe,5,0,0,3
SD,SDN 277 PANGI,Kec. Rilau Ale,3,0,0,5
SD,SD NEGERI 135 ERELEBU,Kec. Bontotiro,6,0,0,3
SD,SD NEGERI 73 KASESENG,Kec. Bulukumpa,5,0,0,2
SD,SD NEGERI 109 KAJANG KEKE,Kec. Kajang,3,0,0,7
SD,SD NEGERI 127 BONTOA,Kec. Herlang,3,0,0,5
SD,SD NEGERI 266 TOROLIYA,Kec. Gantarang,6,0,0,6
SD,SD NEGERI 215 DASSA,Kec. Kajang,5,0,0,4
SD,SD NEGERI 211 PALAMPANG,Kec. Rilau Ale,7,0,0,4
SD,SDN NEGERI 328 GATTARENG,Kec. Gantarang,6,0,0,6
SD,SD NEGERI 284 TANAH JAYA,Kec. Kajang,3,0,0,5
SD,SD NEGERI 123 PATARO,Kec. Herlang,5,0,0,2
SD,SD NEGERI 51 PARANGSILIBBO.,Kec. Kindang,3,0,0,7
SD,SD NEGERI 97 SAMPEANG,Kec. Rilau Ale,5,0,0,4
SD,SD NEGERI 24 SALEMBA,Kec. Ujung Bulu,20,0,0,7
SD,SD NEGERI 245 BATUTOMPO,Kec. Rilau Ale,4,0,0,6
SD,SD NEGERI 137 CARAMMING,Kec. Bontotiro,5,0,0,4
SD,SD NEGERI 141 SALU,Kec. Bontotiro,4,0,0,5
SD,SD NEGERI 50 PALIOI,Kec. Kindang,4,0,0,4
SD,SD NEGERI 176 TAMBANGAN,Kec. Kajang,5,0,0,4
SD,SD NEGERI 352 NANA,Kec. Kindang,3,0,0,6
SD,SD NEGERI 148 BONTOBULAENG,Kec. Bontotiro,7,0,0,2
SD,SD NEGERI 288 LIANG,Kec. Herlang,2,0,0,7
SD,SD NEGERI 294 PADANGLOANG,Kec. Ujung Loe,6,0,0,1
SD,SD NEGERI 262 TANAH LEMO,Kec. Bontobahari,6,0,0,0
SD,SD NEGERI 150 UPASAYA,Kec. Bontotiro,4,0,0,4
SD,SD NEGERI 326 BAMPANG,Kec. Ujung Loe,5,0,0,4
SD,SD NEGERI 124 BATUASANG,Kec. Herlang,7,0,0,2
SD,SD NEGERI 202 BALLEANGING,Kec. Ujung Loe,4,0,0,5
SD,SD NEGERI 33 BARABBA,Kec. Gantarang,8,0,0,2
SD,SD NEGERI 249 DALOBA,Kec. Kajang,4,0,0,4
SD,SD NEGERI 167 KASUSO,Kec. Bontobahari,3,0,0,6
SD,SD NEGERI 164 ARA,Kec. Bontobahari,4,0,0,3
SD,SD NEGERI 56 BALANGDIDI,Kec. Kindang,4,0,0,2
SD,SD NEGERI 105 SANGKALA,Kec. Kajang,6,0,0,2
SD,SD NEGERI 171 LOKA,Kec. Ujung Bulu,15,0,0,4
SD,SD NEGERI 41 MATEKKO,Kec. Gantarang,15,0,0,7
SD,SD NEGERI 31 BONTOMACINNA,Kec. Gantarang,10,0,0,8
SD,SD NEGERI 57 ORO,Kec. Kindang,5,0,0,3
SD,SD NEGERI 296 TAMATTO,Kec. Ujung Loe,3,0,0,5
SD,SD NEGERI TERPENCIL 350 KAHAYA,Kec. Kindang,6,0,0,3
SD,SD NEGERI 15 MANJALLING,Kec. Ujung Loe,5,0,0,4
SD,SDN 337 MALLOMBONG,Kec. Kajang,5,0,0,4
SD,SD NEGERI 265 BINTARORE,Kec. Ujung Bulu,7,0,0,2
SD,SD NEGERI 151 TIMBULA,Kec. Bontotiro,5,0,0,5
SD,SD NEGERI 59 TANETE,Kec. Bulukumpa,9,0,0,2
SD,SD NEGERI 252 SAPIRI,Kec. Kajang,3,0,0,0
SD,SD NEGERI 62 WAEPEJJE,Kec. Bulukumpa,6,0,0,0
SD,SD NEGERI 223 GARANTA,Kec. Ujung Loe,7,0,0,6
SD,SD NEGERI 270 DANNUANG,Kec. Ujung Loe,9,0,0,1
SD,SD NEGERI 129 BONTOSUKA,Kec. Herlang,6,0,0,3
SD,SD NEGERI 2 TERANG,Kec. Ujung Bulu,24,0,0,3
SD,SD NEGERI 165 BIRA,Kec. Bontobahari,5,0,0,3
SD,SD NEGERI 343 TUGONDENG,Kec. Herlang,5,0,0,1
SD,SD NEGERI 213 HULO,Kec. Bulukumpa,3,0,0,1
SD,SD NEGERI 70 BULO,Kec. Bulukumpa,7,0,0,5
SD,SD NEGERI 286 MALLOMBONG,Kec. Herlang,6,0,0,3
SD,SD NEGERI 35 BONTO SUNGGU,Kec. Gantarang,8,0,0,3
SD,SD NEGERI 198 BIRA,Kec. Bontobahari,6,0,0,3
SD,SD NEGERI 242 GALUNG BODDONG,Kec. Rilau Ale,6,0,0,2
SD,SD NEGERI 192 TANAHTOWA,Kec. Kajang,4,0,0,3
SD,SD NEGERI 194 MACINNA,Kec. Herlang,7,0,0,1
SD,SD NEGERI 212 BONTOBANGUN,Kec. Rilau Ale,9,0,0,2
SD,SD NEGERI 188 BONTO BULAENG,Kec. Bulukumpa,7,0,0,0
SD,SD NEGERI 302 LATTAE,Kec. Kindang,5,0,0,3
SD,SD NEGERI 110 BUNJA,Kec. Kajang,4,0,0,2
SD,SD NEGERI 184 PALAMBARAE,Kec. Gantarang,11,0,0,3
SD,SD NEGERI 175 BULO,Kec. Bulukumpa,9,0,0,4
SD,SD NEGERI 10 ELA,Kec. Ujung Bulu,11,0,0,2
SD,SD ISLAM TERPADU WAHDAH ISLAMIYAH BULUKUMBA,Kec. Ujung Bulu,5,0,7,1
SD,SD NEGERI 169 TOKALA,Kec. Bontobahari,5,0,0,3
SD,SD NEGERI 238 MATTOANGING,Kec. Bulukumpa,4,0,0,0
SD,SD NEGERI 331 BORONG TELLU,Kec. Gantarang,7,0,0,4
SD,SD NEGERI 48 GANTING.,Kec. Kindang,4,0,1,4
SD,SD NEGERI 139 LAMANDA,Kec. Bontotiro,6,0,0,2
SD,SD NEGERI 208 KINDANG,Kec. Kindang,4,0,0,4
SD,SD NEGERI 112 BARANG,Kec. Kajang,6,0,0,3
SD,SD NEGERI 224 GARANTA,Kec. Ujung Loe,6,0,0,4
SD,SD NEGERI 291 LOBI,Kec. Bontotiro,5,0,0,4
SD,SD NEGERI 335 KACIBO,Kec. Rilau Ale,5,0,0,4
SD,SD NEGERI 341 BATU,Kec. Herlang,6,0,0,6
SD,SD NEGERI 132 BABALOHE,Kec. Herlang,4,0,0,3
SD,SD NEGERI 5 APPASARENGE,Kec. Ujung Bulu,9,0,0,2
SD,SD NEGERI 168 DANGKE,Kec. Bontobahari,5,0,0,4
SD,SD NEGERI 347 TABBINGSITOA,Kec. Bontotiro,5,0,0,3
SD,SD NEGERI 159 LIMBUA,Kec. Bontobahari,4,0,0,4
SD,SD NEGERI 144 BUHUNGLANTANG,Kec. Bontotiro,6,0,0,3
SD,SD NEGERI 334 BINUANG,Kec. Bulukumpa,2,0,0,1
SD,SD NEGERI 152 JATIA,Kec. Bontotiro,5,0,0,5
SD,SD NEGERI 332 PULONGGO,Kec. Bulukumpa,3,0,0,4
SD,SD NEGERI 339 DUMPU,Kec. Kajang,2,0,0,5
SD,SD NEGERI 126 BORONG,Kec. Herlang,4,0,0,3
SD,SD NEGERI 239 SARAJOKO,Kec. Bulukumpa,7,0,0,4
SD,SD NEGERI 323 TOKOMBENG,Kec. Ujung Loe,3,0,0,6
SD,SD NEGERI 163 ARA,Kec. Bontobahari,5,0,0,3
SD,SD NEGERI 234 MATTIROWALIE,Kec. Kindang,7,0,0,9
SD,SD NEGERI 258 SAKUI KUI,Kec. Bontotiro,6,0,0,3
SD,SD NEGERI 309 DUMPU,Kec. Kajang,5,0,0,0
SD,SD NEGERI 76 BARUGA RIATTANG,Kec. Bulukumpa,2,0,0,6
SD,SD NEGERI 23 PADANGLOANG,Kec. Ujung Loe,6,0,0,4
SD,SD NEGERI 241 BARUGAE,Kec. Bulukumpa,1,0,0,1
SD,SD NEGERI 142 PAKUBALAHO,Kec. Bontotiro,5,0,0,4
SD,SD NEGERI 108 GANTA,Kec. Kajang,3,0,0,0
SD,SD NEGERI 218 BATANG,Kec. Bontotiro,7,0,0,3
SD,SD NEGERI 209 TANETE,Kec. Bulukumpa,8,0,0,2
SD,SD NEGERI 107 MACCINI,Kec. Kajang,5,0,0,3
SD,SD NEGERI 111 KASSIBUTA,Kec. Kajang,8,0,0,0
SD,SD NEGERI 83 PANGI,Kec. Rilau Ale,8,0,0,0
SD,SD NEGERI 99 SALASSAE,Kec. Bulukumpa,5,0,0,2
SD,SD NEGERI 117 LEMBANG TUMBU,Kec. Herlang,8,0,0,2
SD,SD NEGERI 44 DAMPANG,Kec. Gantarang,11,0,0,5
SD,SD NEGERI 203 BONTOMACINNA,Kec. Gantarang,11,0,0,6
SD,SD NEGERI 39 BONTO NYELENG,Kec. Gantarang,8,0,0,6
SD,SD NEGERI 154 TULEKKO,Kec. Bontotiro,6,0,0,3
SD,SD NEGERI 38 GATTARENG,Kec. Gantarang,5,0,0,0
SD,SD NEGERI 85 BINGKARONGO,Kec. Rilau Ale,8,0,0,3
SD,SD NEGERI 46 MATTIROWALIE,Kec. Kindang,9,0,0,2
SD,SD NEGERI 40 BONTO NYELENG,Kec. Gantarang,5,0,0,8
SD,SD NEGERI 271 GARANTA,Kec. Ujung Loe,4,0,0,5
SD,SD NEGERI 47 ANRIHUA.,Kec. Kindang,4,0,0,5
SD,SD NEGERI 318 KARRINGA,Kec. Herlang,5,0,0,4
SD,SD NEGERI 269 BALLEANGING,Kec. Ujung Loe,3,0,0,6
SD,SD NEGERI 101 KAJANG II,Kec. Kajang,4,0,0,7
SD,SD NEGERI 225 ALLU,Kec. Ujung Loe,7,0,0,2
SD,SD NEGERI 36 BONTOSUNGGU,Kec. Gantarang,8,0,0,6
SD,SD NEGERI 305 TA GENTUNG,Kec. Bulukumpa,1,0,0,6
SD,SD NEGERI 177 BATUASANG,Kec. Herlang,5,0,0,5
SD,SD NEGERI 183 GARANTA,Kec. Ujung Loe,8,0,0,4
SD,SD NEGERI 66 BALANGRIRI,Kec. Bulukumpa,5,0,0,5
SD,SD NEGERI 79 LAJAE,Kec. Bulukumpa,7,0,0,1
SD,SD NEGERI 261 BILAMPOROA,Kec. Bontotiro,5,0,0,1
SD,SD NEGERI 84 PANGI,Kec. Rilau Ale,5,0,0,3
SD,SD NEGERI 34 BIALO,Kec. Gantarang,6,0,0,3
SD,SD NEGERI 133 HILA,Kec. Bontotiro,6,0,0,2
SD,SD NEGERI 349 MAMPUA,Kec. Ujung Loe,6,0,0,2
SD,SD NEGERI 146 MATTOANGIN,Kec. Bontotiro,6,0,0,3
SD,SD NEGERI 16 ULUTEDONG,Kec. Ujung Loe,6,0,0,1
SD,SD NEGERI 29 BONTOMACINNA,Kec. Gantarang,10,0,0,7
SD,SD NEGERI 80 BULUKUMPA,Kec. Bulukumpa,8,0,0,2
SD,SD NEGERI 61 BALLEANGING,Kec. Bulukumpa,8,0,0,0
SD,SD NEGERI 106 LABOJO,Kec. Kajang,5,0,0,3
SD,SD NEGERI 82 PALAMPANG,Kec. Rilau Ale,7,0,0,1
SD,SD NEGERI 3 KASIMPURENG,Kec. Ujung Bulu,24,0,0,7
SD,SD NEGERI 160TARAMPANG,Kec. Bontobahari,8,0,0,5
SD,SD NEGERI 221 TANAHKONGKONG,Kec. Ujung Bulu,20,0,0,1
SD,SD NEGERI 136 SALOBUNDANG,Kec. Bontotiro,8,0,0,1
SD,SD NEGERI 92 PANGALLOANG,Kec. Rilau Ale,3,0,0,7
SD,SD NEGERI 248 LAIKANG,Kec. Kajang,4,0,0,5
SD,SD NEGERI 298 CABALU,Kec. Gantarang,8,0,0,3
SD,SD NEGERI 14 BABANA,Kec. Ujung Loe,11,0,0,4
SD,SD NEGERI 11 KALUMEME,Kec. Ujung Bulu,13,0,0,3
SD,SD NEGERI 304 BATUHULANG,Kec. Bulukumpa,4,0,0,4
SD,SD NEGERI 69 ANNISIA,Kec. Bulukumpa,5,0,0,3
SD,SD NEGERI 170 LIUKANG LOE,Kec. Bontobahari,3,0,0,3
SD,SD NEGERI 68 TIBONA,Kec. Bulukumpa,6,0,0,2
SD,SD NEGERI 240 HARUE,Kec. Bulukumpa,7,0,0,2
SD,SD NEGERI 259 SAMBOANG,Kec. Bontotiro,3,0,0,6
SD,SD NEGERI 273 BORONGRAPPOA,Kec. Kindang,3,0,0,5
SD,SD NEGERI 232 DAMPANG,Kec. Gantarang,7,0,0,6
SD,SD NEGERI 344 ALORANG,Kec. Herlang,3,0,0,0
SD,SD NEGERI 289 TALUMAYA,Kec. Bontotiro,4,0,0,5
SD,SD NEGERI NO 93 MARANA,Kec. Rilau Ale,5,0,0,2
SD,SD NEGERI 96 GALUNG BODDONG,Kec. Bulukumpa,3,0,0,0
SD,SD NEGERI 303 PALIPUNGANG,Kec. Rilau Ale,2,0,0,7
SD,SD NEGERI 237 LEMBANG,Kec. Bulukumpa,4,0,0,1
SD,SD NEGERI 317 BORONG,Kec. Herlang,3,0,0,2
SD,SD NEGERI 140 KALERASANG,Kec. Bontotiro,3,0,0,4
SD,SD NEGERI 12 BABANA,Kec. Ujung Loe,9,0,0,0
SD,SD NEGERI 119 KARASSING,Kec. Herlang,5,0,0,4
SD,SD NEGERI 322 ELA,Kec. Ujung Bulu,9,0,0,2
SD,SD NEGERI 174 ANRIHUA,Kec. Kindang,4,0,0,8
SD,SD NEGERI 314 MARANA,Kec. Herlang,4,0,0,6
SD,SD NEGERI 197 SAPOLOHE,Kec. Bontobahari,9,0,0,5
SD,SD NEGERI 299 BONTO MACINNA,Kec. Gantarang,3,0,0,7
SD,SD NEGERI 166 BIRA,Kec. Bontobahari,5,0,0,3
SD,SD NEGERI 102 LAIKANG,Kec. Kajang,5,0,0,4
SD,SD NEGERI 292 BIRA,Kec. Bontobahari,3,0,0,5
SD,SD NEGERI 28 BONTOMACINNA,Kec. Gantarang,2,0,0,7
SD,SD NEGERI 308 BUNGAYA,Kec. Kajang,3,0,0,2
SD,SD NEGERI 278 PAKOMBONG,Kec. Bulukumpa,4,0,0,0
SD,SD NEGERI 125 SALIBANG,Kec. Herlang,2,0,0,2
SD,SD NEGERI 156 KALUKUBODO,Kec. Bontobahari,6,0,0,3
SD,SD NEGERI 43 MATTIROWALIE.,Kec. Kindang,6,0,0,3
SD,SD NEGERI 189 BARUGAE,Kec. Bulukumpa,8,0,0,6
SD,SD NEGERI 37 PALAMBARAE,Kec. Gantarang,12,0,0,7
SD,SD NEGERI 231 BONTONYELENG,Kec. Gantarang,3,0,0,6
SD,SD NEGERI 54 CAMPAGA,Kec. Kindang,4,0,0,5
SD,SD NEGERI 275 GATTARENG,Kec. Gantarang,4,0,0,7
SD,SD NEGERI 214 LOLISANG,Kec. Kajang,4,0,0,5
SD,SD NEGERI NO 279 TALLE,Kec. Rilau Ale,5,0,0,4
SD,SD NEGERI 272 BALLEANGING,Kec. Ujung Loe,6,0,0,4
SD,SD NEGERI 330 RAOE,Kec. Gantarang,8,0,0,5
SD,SD NEGERI 230 PALAMBARAE,Kec. Gantarang,11,0,0,7
SD,SD NEGERI 121 EREINUNG,Kec. Herlang,3,0,0,6
SD,SD NEGERI 333 TIBONA,Kec. Bulukumpa,3,0,0,7
SD,SD NEGERI 217 KARASSING,Kec. Herlang,4,0,0,4
SD,SD NEGERI 49 BORONGRAPPOA.,Kec. Kindang,6,0,0,5
SD,SD NEGERI 268 JANNAKEKE,Kec. Bontotiro,4,0,0,6
SD,SD NEGERI 229 GATTARENG,Kec. Gantarang,6,0,0,6
SD,SD NEGERI 32 BARABBA,Kec. Gantarang,8,0,0,4
SD,SD NEGERI 114 MALLELENG,Kec. Kajang,4,0,0,4
SD,SD NEGERI 75 PETTUNGE,Kec. Bulukumpa,3,0,1,7
SD,SD NEGERI 316 LASSANRU,Kec. Herlang,5,0,0,4
SD,SD NEGERI 78 BONTOA,Kec. Bulukumpa,4,0,0,2
SD,SD NEGERI 115 BALAGANA,Kec. Kajang,3,0,0,5
SD,SD NEGERI 204 GATTARENG,Kec. Gantarang,5,0,0,9
SD,SD NEGERI 155 TANAH BERU,Kec. Bontobahari,8,0,0,6
SD,SD NEGERI 207 DAMPANG,Kec. Gantarang,6,0,0,5
SD,SD NEGERI 71 BARUGAE,Kec. Bulukumpa,7,0,0,3
SD,SD NEGERI 243 ELLEE,Kec. Bulukumpa,4,0,0,3
SD,SD NEGERI 8 NIPA,Kec. Ujung Bulu,9,0,0,4
SD,SD NEGERI 285 DASSA,Kec. Kajang,3,0,0,5
SD,SD NEGERI 89 BATU KAROPA,Kec. Rilau Ale,6,0,0,5
SD,SD NEGERI 338 JAMPANG,Kec. Kajang,7,0,0,2
SD,SD NEGERI 77 BONTOBAJU,Kec. Bulukumpa,5,0,0,3
SD,SD NEGERI 235 BORONGRAPPOA,Kec. Kindang,5,0,0,0
SD,SD NEGERI 55 CIBOLLO,Kec. Kindang,6,0,0,2
SD,SD NEGERI 205 BONTOSUNGGU,Kec. Gantarang,5,0,0,5
SD,SD NEGERI 193 TANUNTUNG,Kec. Herlang,7,0,0,0
SD,SD NEGERI 348 DOAJANG,Kec. Bontobahari,6,0,0,5
SD,SD NEGERI 195 EKATIRO,Kec. Bontotiro,6,0,0,2
SLB,SLBS ABCD DARMAWANITA HERLANG,Kec. Herlang,4,0,14,0
SLB,SLB NEGERI BULUKUMBA,Kec. Ujung Bulu,24,0,0,6
