Jenjang,Sekolah,Kecematan,<= 30,31 - 35,36 - 40,41 - 45,46 - 50,51 - 55,> 55
SMA,SMAN 16 BULUKUMBA,Kec. Bontobahari,27,5,1,1,1,0,1
SMA,SMAN 3 BULUKUMBA,Kec. Bontobahari,18,7,5,2,7,6,6
SMA,SMAN 11 BULUKUMBA,Kec. Bontotiro,7,11,4,3,3,2,0
SMA,SMAN 10 BULUKUMBA,Kec. Rilau Ale,6,9,9,7,9,6,0
SMA,SMAS MUHAMMADIYAH BULUKUMBA,Kec. Ujung Bulu,5,3,2,3,1,1,2
SMA,SMAN 7 BULUKUMBA,Kec. Gantarang,8,8,9,4,13,2,3
SMA,SMAN 2 BULUKUMBA,Kec. Bulukumpa,17,8,4,10,3,8,2
SMA,SMAN 12 BULUKUMBA,Kec. Kindang,3,4,7,2,6,3,1
SMA,SMAN 8 BULUKUMBA,Kec. Ujung Bulu,5,0,6,10,10,13,8
SMA,SMAN 1 BULUKUMBA,Kec. Ujung Bulu,7,1,1,9,12,23,13
SMA,SMAN 14 BULUKUMBA,Kec. Bulukumpa,15,8,3,2,1,1,1
SMA,SMA  NEGERI 19 BULUKUMBA,Kec. Gantarang,8,1,2,1,1,0,1
SMA,SMAN 4 BULUKUMBA,Kec. Bontotiro,10,4,3,2,2,6,12
SMA,SMAN 6 BULUKUMBA,Kec. Herlang,28,9,12,3,2,1,2
SMA,SMAN 17 BULUKUMBA,Kec. Rilau Ale,10,4,1,0,0,0,2
SMA,SMAS PGRI BULUKUMBA,Kec. Ujung Bulu,3,0,1,0,0,0,3
SMA,SMAS KARYA SAHARI BULUKUMBA,Kec. Ujung Bulu,2,4,1,1,3,3,6
SMA,SMAN 15 BULUKUMBA,Kec. Ujung Loe,13,4,2,2,1,1,0
SMA,SMA NEGERI 18 BULUKUMBA,Kec. Kajang,14,4,0,2,1,0,0
SMA,SMAN 13 BULUKUMBA,Kec. Kajang,11,6,1,0,1,1,2
SMA,SMAN 5 BULUKUMBA,Kec. Kajang,14,8,6,4,3,3,4
SMA,SMAN 9 BULUKUMBA,Kec. Ujung Loe,12,7,10,11,9,2,4
SMK,SMKN 8 BULUKUMBA,Kec. Bulukumpa,12,6,3,2,0,1,0
SMK,SMKN 11 BULUKUMBA,Kec. Bulukumpa,10,1,1,0,0,0,0
SMK,SMKS AL IRSYAD BULUKUMBA,Kec. Ujung Bulu,10,3,1,0,0,0,1
SMK,SMKN 1 BULUKUMBA,Kec. Ujung Bulu,17,8,13,10,11,15,16
SMK,SMKN 10 BULUKUMBA,Kec. Gantarang,11,4,2,2,0,1,0
SMK,SMKN 9 BULUKUMBA,Kec. Bontotiro,8,2,0,0,0,2,1
SMK,SMKN 2 BULUKUMBA,Kec. Kindang,5,9,6,4,1,0,0
SMK,SMKN 6 PERKAPALAN BULUKUMBA,Kec. Bontobahari,5,6,2,2,3,3,2
SMK,SMKS KESEHATAN PHINISI BULUKUMBA,Kec. Ujung Bulu,8,2,0,0,0,0,1
SMK,SMKS TEKNOLOGI INFORMATIKA BULUKUMBA,Kec. Ujung Bulu,3,6,3,0,1,0,0
SMK,SMK CENDEKIA INSAN MANDIRI,Kec. Ujung Bulu,5,0,0,0,0,0,0
SMK,SMKS PUTRA BANGSA BULUKUMBA,Kec. Ujung Bulu,7,2,1,2,0,0,0
SMK,SMKS MULIA ASRI BULUKUMBA,Kec. Kajang,8,3,1,1,0,0,0
SMK,SMKS PEPABRI BULUKUMBA,Kec. Ujung Bulu,6,7,4,0,1,3,1
SMK,SMKS MUHAMMADIYAH BULUKUMBA,Kec. Ujung Bulu,7,9,1,0,0,0,0
SMK,SMKN 5 BULUKUMBA,Kec. Rilau Ale,4,7,6,4,1,2,0
SMK,SMKN 3 BULUKUMBA,Kec. Ujung Loe,7,1,9,11,5,4,4
SMK,SMKS KEPERAWATAN ALIF SYAWAL BULUKUMBA,Kec. Ujung Bulu,2,2,1,1,0,0,1
SMK,SMKN 4 BULUKUMBA,Kec. Herlang,1,6,7,3,0,0,0
SMK,SMKN 7 BULUKUMBA,Kec. Kajang,11,6,0,0,2,1,0
SMK,SMKS ARKARNIS BATANG,Kec. Bontotiro,8,1,1,0,1,1,1
SMP,SMP NEGERI 8 BULUKUMBA ,Kec. Gantarang,1,4,9,3,3,2,2
SMP,SMP NEGERI SATAP 9 BULUKUMBA,Kec. Kindang,2,5,1,0,0,0,1
SMP,SMP INTEGRAL AL HIKMAH,Kec. Ujung Loe,3,2,1,1,1,0,0
SMP,SMP NEGERI 35 BULUKUMBA,Kec. Bontobahari,1,7,4,1,3,3,0
SMP,SMP NEGERI 39 BULUKUMBA,Kec. Rilau Ale,10,6,5,2,4,12,3
SMP,SMP NEGERI 10 BULUKUMBA,Kec. Ujung Loe,8,3,8,6,3,8,7
SMP,SMP NEGERI 24 BULUKUMBA ,Kec. Herlang,2,8,3,3,3,3,5
SMP,SMP NEGERI 5 BULUKUMBA,Kec. Gantarang,2,1,3,5,2,14,10
SMP,SMP AL-IRSYAD,Kec. Kindang,10,2,0,2,0,0,0
SMP,SMP NEGERI 23 BULUKUMBA,Kec. Kajang,2,2,1,4,1,4,0
SMP,SMP NEGERI SATAP 3 BULUKUMBA ,Kec. Kajang,3,5,0,1,1,1,0
SMP,SMP NEGERI 21 BULUKUMBA,Kec. Kajang,9,2,3,1,1,0,0
SMP,SMP NEGERI SATAP 5 BULUKUMBA,Kec. Kajang,1,3,0,2,0,1,0
SMP,SMP NEGERI SATAP 15 BULUKUMBA,Kec. Gantarang,2,4,3,0,1,1,0
SMP,SMP NEGERI SATAP 4 BULUKUMBA ,Kec. Kajang,1,0,2,1,1,0,0
SMP,SMP NEGERI SATAP 7 BULUKUMBA,Kec. Bontobahari,4,3,1,0,3,1,0
SMP,SMP NEGERI 32 BULUKUMBA,Kec. Bontobahari,3,5,8,3,8,8,8
SMP,SMPN 46 BULUKUMBA,Kec. Herlang,6,3,0,0,0,2,0
SMP,SMP NEGERI 9 BULUKUMBA ,Kec. Gantarang,5,7,8,2,5,6,1
SMP,SMP NEGERI 11 BULUKUMBA,Kec. Ujung Loe,0,8,3,8,3,0,1
SMP,SMP NEGERI 3 BULUKUMBA ,Kec. Ujung Bulu,2,3,6,1,6,2,0
SMP,SMP NEGERI 41 BULUKUMBA ,Kec. Rilau Ale,5,6,4,1,6,2,0
SMP,SMPS AS SALAM JONJORO,Kec. Rilau Ale,6,2,0,2,0,0,0
SMP,SMP NEGERI 43 BULUKUMBA,Kec. Kajang,8,1,1,0,1,0,1
SMP,SMP NEGERI 25 BULUKUMBA,Kec. Herlang,12,3,3,3,4,4,5
SMP,SMP NEGERI 40 BULUKUMBA,Kec. Rilau Ale,14,8,4,2,8,5,7
SMP,SMP NEGERI SATAP 14 BULUKUMBA,Kec. Gantarang,4,4,0,0,1,1,1
SMP,SMP NEGERI 28 BULUKUMBA,Kec. Herlang,6,4,0,1,1,1,1
SMP,SMP NEGERI 19 BULUKUMBA ,Kec. Kajang,9,3,4,1,7,7,4
SMP,SMP NEGERI 20 BULUKUMBA,Kec. Kajang,8,5,2,5,6,4,5
SMP,SMP NEGERI 14 BULUKUMBA,Kec. Bulukumpa,5,4,4,6,7,4,4
SMP,SMP NEGERI 27 BULUKUMBA,Kec. Herlang,4,7,2,1,2,0,2
SMP,SMP NEGERI 15 BULUKUMBA,Kec. Bulukumpa,1,1,6,3,1,7,3
SMP,SMP NEGERI 16 BULUKUMBA,Kec. Bulukumpa,10,2,5,4,2,2,1
SMP,SMP NEGERI SATAP 11 BULUKUMBA,Kec. Kindang,4,3,0,1,1,0,0
SMP,SMP NEGERI SATAP 2 BULUKUMBA,Kec. Bontotiro,2,1,2,0,3,1,1
SMP,SMP NEGERI 12 BULUKUMBA ,Kec. Ujung Loe,2,7,8,3,2,3,2
SMP,SMP ISLAM AL QALAM,Kec. Bulukumpa,4,1,1,0,0,0,0
SMP,SMP NEGERI 13 BULUKUMBA,Kec. Ujung Loe,4,7,1,1,1,1,1
SMP,SMP NEGERI SATAP 12 BULUKUMBA ,Kec. Kindang,1,5,1,0,0,1,0
SMP,SMP NEGERI SATAP 6 BULUKUMBA,Kec. Bontobahari,2,1,0,0,0,1,1
SMP,SMP NEGERI 7 BULUKUMBA,Kec. Gantarang,5,5,4,4,4,2,0
SMP,SMP NEGERI 26 HERLANG,Kec. Herlang,1,5,5,2,4,1,0
SMP,SMP NEGERI 36 BULUKUMBA,Kec. Kindang,5,4,2,3,0,0,3
SMP,SMP NEGERI 4 BULUKUMBA,Kec. Gantarang,7,6,4,3,8,14,4
SMP,SMP NEGERI SATAP 13 BULUKUMBA,Kec. Kindang,8,3,1,0,1,0,0
SMP,SMP MUHAMMADIYAH BULUKUMBA,Kec. Ujung Bulu,8,2,0,0,1,1,2
SMP,SMP NEGERI 17 BULUKUMBA,Kec. Bulukumpa,6,2,3,4,2,4,0
SMP,SMP NEGERI 44 BULUKUMBA,Kec. Bulukumpa,4,6,2,1,1,0,0
SMP,SMP NEGERI 37 BULUKUMBA,Kec. Kindang,3,5,5,3,2,0,2
SMP,SMP NEGERI 2 BULUKUMBA,Kec. Ujung Bulu,4,5,4,5,12,10,10
SMP,SMP NEGERI 48 BULUKUMBA,Kec. Gantarang,4,3,1,0,0,1,1
SMP,SMP AL GAZALI,Kec. Ujung Bulu,1,6,2,2,0,0,4
SMP,SMP NEGERI 47 BULUKUMBA,Kec. Bulukumpa,6,2,2,1,0,1,0
SMP,SMP NEGERI 1 BULUKUMBA,Kec. Ujung Bulu,2,3,3,12,16,15,10
SMP,SMP NEGERI SATAP 8 BULUKUMBA,Kec. Ujung Loe,2,2,1,2,0,0,0
SMP,SMP NEGERI 29 BULUKUMBA,Kec. Bontotiro,2,2,2,1,2,10,3
SMP,SMP NEGERI 31 BULUKUMBA,Kec. Bontotiro,4,6,2,2,2,3,2
SMP,SMP NEGERI 34 BULUKUMBA,Kec. Bontobahari,5,4,1,3,5,3,1
SMP,SMP NEGERI 18 BULUKUMBA ,Kec. Bulukumpa,1,7,0,3,2,2,1
SMP,SMP NEGERI 33 BULUKUMBA,Kec. Bontobahari,1,5,1,2,5,2,4
SMP,SMP NEGERI 6 BULUKUMBA,Kec. Gantarang,6,3,5,2,1,1,0
SMP,SMPN SATAP 18 BULUKUMBA,Kec. Bulukumpa,4,1,2,1,1,0,0
SMP,SMP NEGERI 30 BULUKUMBA,Kec. Bontotiro,2,0,4,2,5,7,10
SMP,SMP NEGERI SATAP 1 BULUKUMBA,Kec. Herlang,5,3,1,2,1,0,0
SMP,SMP NEGERI 22 BULUKUMBA,Kec. Kajang,4,5,4,2,1,0,0
SMP,SMP NEGERI SATAP 10 BULUKUMBA ,Kec. Kindang,6,5,1,0,0,1,0
SMP,SMP NEGERI 38 BULUKUMBA,Kec. Kindang,0,4,5,0,1,1,1
SMP,SMP PGRI BULUKUMBA,Kec. Ujung Bulu,4,2,3,0,0,2,2
SMP,SMP NEGERI 42 BULUKUMBA,Kec. Rilau Ale,3,7,0,1,3,2,1
SD,SDN 7 MATAJANG,Kec. Ujung Bulu,1,4,4,4,2,4,1
SD,SD NEGERI 274 BONTOSUNGGU,Kec. Gantarang,1,2,4,1,1,2,2
SD,SD NEGERI 21 SEPPANG,Kec. Ujung Loe,1,3,1,0,2,2,1
SD,SD NEGERI 90 GANJENGE,Kec. Rilau Ale,1,3,4,2,3,2,1
SD,SD NEGERI 287 DOMENGA,Kec. Herlang,0,0,1,1,1,5,1
SD,SD NEGERI 27 MATEKKO,Kec. Gantarang,0,3,2,1,2,4,1
SD,SD NEGERI 182 DANNUANG,Kec. Ujung Loe,2,7,5,1,1,2,0
SD,SD NEGERI 206 BONTONYELENG,Kec. Gantarang,3,7,2,2,0,1,0
SD,SD NEGERI 187 BONTOMANAI,Kec. Rilau Ale,0,5,4,1,0,1,4
SD,SD NEGERI 226 BALLEANGING,Kec. Ujung Loe,0,1,3,1,0,1,2
SD,SD NEGERI 145 TUJU,Kec. Bontotiro,3,2,0,0,0,2,1
SD,SD NEGERI 247 PATTOENGAN,Kec. Bulukumpa,1,5,2,0,1,0,1
SD,SD NEGERI 297 MATEKKO,Kec. Gantarang,2,1,2,0,2,1,3
SD,SD NEGERI 222 DANNUANG,Kec. Ujung Loe,0,6,2,0,1,0,1
SD,SD NEGERI NO. 98 BONTOMANAI,Kec. Rilau Ale,2,5,2,0,2,4,1
SD,SD NEGERI 311 LURAYA,Kec. Kajang,3,3,0,1,2,0,0
SD,SD NEGERI 94 BALIMBING,Kec. Rilau Ale,1,2,1,3,0,2,0
SD,SD NEGERI 293 TANAHKONGKONG,Kec. Ujung Bulu,0,3,0,1,1,3,2
SD,SD NEGERI 26 MATEKKO,Kec. Gantarang,3,2,4,3,3,4,2
SD,SD NEGERI 281 SUMALAYA,Kec. Kajang,3,2,2,0,2,0,1
SD,SD NEGERI 290 TAHEBATU,Kec. Bontotiro,1,0,2,0,3,3,0
SD,SD NEGERI 227 BONTOMACINNA,Kec. Gantarang,2,4,0,0,4,1,1
SD,SD NEGERI 113 DANGGAREHANG,Kec. Kajang,2,0,3,3,1,0,0
SD,SD NEGERI 158 BENJALA,Kec. Bontobahari,2,1,0,0,1,3,2
SD,SD NEGERI 196 TRITIRO,Kec. Bontotiro,1,1,0,0,1,4,3
SD,SD NEGERI 65 BALANGRIRI,Kec. Bulukumpa,1,2,5,0,1,0,0
SD,SD NEGERI 346 TIMBULA,Kec. Bontotiro,2,2,0,0,2,1,1
SD,SD NEGERI 319 LOKAJAHA,Kec. Bontotiro,1,1,2,1,1,2,0
SD,SD NEGERI 9 TANAH KONGKONG,Kec. Ujung Bulu,1,1,0,0,3,2,5
SD,SD NEGERI 19 MANYAMPA,Kec. Ujung Loe,1,4,1,2,0,1,1
SD,SD NEGERI 244 SALASSAE,Kec. Bulukumpa,2,2,2,2,0,2,2
SD,SD NEGERI 254 BANYORO,Kec. Herlang,1,2,0,3,1,3,1
SD,SD NEGERI 263 TANAH LEMO,Kec. Bontobahari,2,2,0,1,2,1,3
SD,SD NEGERI 157 PASARAYA,Kec. Bontobahari,1,2,2,1,4,0,0
SD,SD NEGERI 130 BONTOBEANG,Kec. Herlang,0,2,1,0,2,1,3
SD,SD NEGERI 320 MARAKKIUNG,Kec. Bontotiro,2,0,1,0,0,3,1
SD,SD NEGERI 191 LEMBANNA,Kec. Kajang,2,1,0,2,1,2,1
SD,SD NEGERI NO 6 KASUARA,Kec. Ujung Bulu,2,2,1,1,5,2,2
SD,SD NEGERI 312 SAPAYA,Kec. Kajang,3,4,1,0,0,0,1
SD,SD NEGERI 131 BONTO BANA,Kec. Herlang,0,1,3,2,1,2,0
SD,SD NEGERI 86 LONGI,Kec. Rilau Ale,0,2,3,0,2,1,1
SD,SD NEGERI 45 DAMPANG,Kec. Gantarang,1,7,4,0,0,3,1
SD,SD NEGERI 120 BAJANG,Kec. Herlang,0,4,1,0,1,2,2
SD,SD NEGERI 233 DAMPANG,Kec. Gantarang,1,5,3,2,2,2,0
SD,SD NEGERI 72 BAMBAUNGANG,Kec. Bulukumpa,4,3,0,0,0,2,0
SD,SD NEGERI 22 ALLU,Kec. Ujung Loe,1,2,4,0,0,2,2
SD,SDN 353 ULUPARANG,Kec. Kindang,3,0,2,1,1,1,1
SD,SD NEGERI 87 BUTTAKEKE,Kec. Rilau Ale,1,1,3,1,0,1,4
SD,SD NEGERI 313 PAPINJENG,Kec. Kajang,2,2,3,0,0,2,0
SD,SD NEGERI 88 BATUKAROPA,Kec. Rilau Ale,0,2,0,2,2,5,0
SD,SD NEGERI 190 TANAH JAYA,Kec. Kajang,1,3,1,0,2,1,1
SD,SD NEGERI 149 TAMALALA,Kec. Bontotiro,2,2,1,1,1,2,0
SD,SD NEGERI 345 SAMAKORE,Kec. Bontotiro,4,2,0,1,1,0,0
SD,SD NEGERI 161 ARA,Kec. Bontobahari,0,1,0,1,3,0,3
SD,SD NEGERI 210 BONTOMINASA,Kec. Bulukumpa,2,2,3,1,3,0,1
SD,SD NEGERI 91 MUNTE,Kec. Bulukumpa,0,5,2,0,0,1,1
SD,SD NEGERI 64 BALANGBESSI,Kec. Bulukumpa,1,1,3,2,0,1,2
SD,SD NEGERI 255 PARANGLOHE,Kec. Herlang,0,1,3,0,1,2,2
SD,SD NEGERI 116 USA,Kec. Kajang,0,6,0,0,1,1,1
SD,SD NEGERI 267 DAULELE,Kec. Kajang,2,1,0,2,1,1,2
SD,SD NEGERI .172 BORONGKALUKUE,Kec. Ujung Bulu,1,3,3,1,2,4,3
SD,SD NEGERI 256 KAJANG,Kec. Herlang,0,2,1,1,2,2,0
SD,SD NEGERI 162 ARA,Kec. Bontobahari,0,3,1,0,1,2,1
SD,SD NEGERI 153 TOMBOLO,Kec. Bontotiro,3,1,0,1,3,2,1
SD,SD NEGERI 100 CENTRE KAJANG,Kec. Kajang,3,4,0,3,1,1,0
SD,SD NEGERI 181 TANAHKONGKONG,Kec. Ujung Bulu,1,1,4,3,1,0,2
SD,SD NEGERI 118 LEMBANG TUMBU,Kec. Herlang,0,3,1,0,2,2,1
SD,SD NEGERI 103 KALIMPORO,Kec. Kajang,0,5,0,0,2,1,2
SD,SD NEGERI 260 EREKEKE,Kec. Bontotiro,3,0,0,0,2,0,3
SD,SD NEGERI 276 CAMPULEA,Kec. Rilau Ale,0,1,0,2,2,1,3
SD,SD NEGERI 228 GATTARENG,Kec. Gantarang,2,4,2,3,1,1,1
SD,SD NEGERI 143 PARA,Kec. Bontotiro,1,2,0,2,0,1,2
SD,SD NEGERI 315 KAROSI,Kec. Herlang,0,0,1,3,3,1,1
SD,SD NEGERI 329 PALAMBARAE,Kec. Gantarang,1,4,4,1,3,2,1
SD,SD NEGERI 53 PABBAMBAENG.,Kec. Kindang,1,5,3,1,0,2,0
SD,SD NEGERI 300 BONTO TANAE,Kec. Gantarang,2,3,4,1,1,0,0
SD,SD NEGERI 95 BONTOBULAENG,Kec. Bulukumpa,1,1,3,0,0,2,3
SD,SD NEGERI 20 MANYAMPA,Kec. Ujung Loe,0,0,3,2,2,2,0
SD,SD NEGERI 179 TANAH BERU,Kec. Bontobahari,3,2,2,3,2,2,2
SD,SD NEGERI 104 JANNAYA,Kec. Kajang,2,2,3,1,1,0,0
SD,SD NEGERI 219 ARA,Kec. Bontobahari,1,4,1,0,1,0,1
SD,SD NEGERI 13 SALEMBA,Kec. Ujung Loe,1,1,2,1,3,1,1
SD,SD NEGERI 306 MARANA,Kec. Rilau Ale,1,0,4,0,0,0,4
SD,SD NEGERI 236 KINDANG,Kec. Kindang,2,2,1,1,1,1,1
SD,SD NEGERI 134 KALUMPANG,Kec. Bontotiro,2,3,1,1,0,0,2
SD,SD NEGERI 283 GANTING,Kec. Kajang,1,3,2,1,1,1,0
SD,SD NEGERI 128 TURUNGAN BERU,Kec. Herlang,1,1,4,0,2,3,0
SD,SD NEGERI 295 BALONG,Kec. Ujung Loe,1,2,1,2,2,1,0
SD,SD NEGERI 138 BASOKENG,Kec. Bontotiro,2,2,0,0,0,1,3
SD,SD NEGERI 264 BIRA,Kec. Bontobahari,3,1,0,2,1,1,0
SD,SD NEGERI 351 KAWASAN,Kec. Kajang,0,3,3,1,1,1,0
SD,SD NEGERI 74 TAMARELLANG,Kec. Bulukumpa,1,1,1,3,2,2,0
SD,SD NEGERI 310 NANASAYA,Kec. Kajang,2,1,0,1,1,1,2
SD,SD NEGERI 327 MATEKKO,Kec. Gantarang,0,5,2,1,2,0,0
SD,SD NEGERI 67 LOISA,Kec. Bulukumpa,0,1,0,2,4,2,0
SD,SD NEGERI 30 GATTARANG,Kec. Gantarang,1,6,0,2,1,3,2
SD,SD NEGERI 185 BIALO,Kec. Gantarang,2,3,1,3,0,3,3
SD,SD NEGERI 180 BENTENGE,Kec. Ujung Bulu,0,1,2,1,3,1,2
SD,SD NEGERI 147 MATTOANGING 2,Kec. Bontotiro,2,3,0,0,2,1,1
SD,SD NEGERI 178 TULEKKO,Kec. Bontotiro,2,0,1,1,3,1,1
SD,SD NEGERI 60 TANETE,Kec. Bulukumpa,1,2,2,0,0,1,3
SD,SD NEGERI 342 PAOREMBAYA,Kec. Herlang,0,2,2,1,1,4,0
SD,SD NEGERI 324 TAKKUE,Kec. Ujung Loe,2,5,1,1,1,0,0
SD,SD NEGERI 301 KALUKU,Kec. Kindang,3,0,1,3,1,1,1
SD,SD NEGERI 122 BATUPANYU,Kec. Herlang,1,1,3,2,1,0,2
SD,SD NEGERI 251 GANTA,Kec. Kajang,1,2,3,0,1,1,0
SD,SD NEGERI 257 BADDOA,Kec. Herlang,0,2,2,1,2,2,0
SD,SD NEGERI 81 PALAMPANG,Kec. Rilau Ale,0,3,1,0,3,2,0
SD,SD NEGERI 186 MATTIROWALIE,Kec. Kindang,0,2,4,1,3,0,0
SD,SD NEGERI 200 DANNUANG,Kec. Ujung Loe,0,0,1,1,0,5,1
SD,SD NEGERI 199 TANAH KONGKONG,Kec. Ujung Bulu,0,3,2,3,1,2,3
SD,SD NEGERI 201 GARANTA,Kec. Ujung Loe,0,1,3,1,0,1,3
SD,SD NEGERI 25 LONRONG,Kec. Ujung Loe,0,4,0,0,2,0,2
SD,SD NEGERI 58 TANETE,Kec. Bulukumpa,1,2,3,4,2,0,0
SD,SD NEGERI 282 TUBOGA,Kec. Kajang,1,1,3,4,0,0,0
SD,SD NEGERI 173 MATEKKO,Kec. Gantarang,1,6,2,1,3,3,2
