Jenjang,Sekolah,Kecematan,1,2,3,4,5,6,7,8,9,10,11,12,13
SD,SD NEGERI 175 BULO,Kec. Bulukumpa,1,1,1,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 10 ELA,Kec. Ujung Bulu,1,1,1,1,2,1,-,-,-,-,-,-,-
SD,SD ISLAM TERPADU WAHDAH ISLAMIYAH BULUKUMBA,Kec. Ujung Bulu,2,2,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 169 TOKALA,Kec. Bontobahari,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 238 MATTOANGING,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 331 BORONG TELLU,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 48 GANTING.,Kec. Kindang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 139 LAMANDA,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 208 KINDANG,Kec. Kindang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 112 BARANG,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 224 GARANTA,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 291 LOBI,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 335 KACIBO,Kec. Rilau Ale,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 341 BATU,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 132 BABALOHE,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 5 APPASARENGE,Kec. Ujung Bulu,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 168 DANGKE,Kec. Bontobahari,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 347 TABBINGSITOA,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 159 LIMBUA,Kec. Bontobahari,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 144 BUHUNGLANTANG,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 334 BINUANG,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 152 JATIA,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 332 PULONGGO,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 339 DUMPU,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 126 BORONG,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 239 SARAJOKO,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 323 TOKOMBENG,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 163 ARA,Kec. Bontobahari,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 234 MATTIROWALIE,Kec. Kindang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 258 SAKUI KUI,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 309 DUMPU,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 76 BARUGA RIATTANG,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 23 PADANGLOANG,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 241 BARUGAE,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 142 PAKUBALAHO,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 108 GANTA,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 218 BATANG,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 209 TANETE,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 107 MACCINI,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 111 KASSIBUTA,Kec. Kajang,2,1,2,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 83 PANGI,Kec. Rilau Ale,1,1,1,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 99 SALASSAE,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 117 LEMBANG TUMBU,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 44 DAMPANG,Kec. Gantarang,2,2,1,2,2,2,-,-,-,-,-,-,-
SD,SD NEGERI 203 BONTOMACINNA,Kec. Gantarang,1,1,1,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 39 BONTO NYELENG,Kec. Gantarang,1,1,2,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 154 TULEKKO,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 38 GATTARENG,Kec. Gantarang,3,1,1,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 85 BINGKARONGO,Kec. Rilau Ale,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 46 MATTIROWALIE,Kec. Kindang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 40 BONTO NYELENG,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 271 GARANTA,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 47 ANRIHUA.,Kec. Kindang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 318 KARRINGA,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 269 BALLEANGING,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 101 KAJANG II,Kec. Kajang,1,2,1,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 225 ALLU,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 36 BONTOSUNGGU,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 305 TA GENTUNG,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 177 BATUASANG,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 183 GARANTA,Kec. Ujung Loe,1,1,1,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 66 BALANGRIRI,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 79 LAJAE,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 261 BILAMPOROA,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 84 PANGI,Kec. Rilau Ale,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 34 BIALO,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 133 HILA,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 349 MAMPUA,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 146 MATTOANGIN,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 16 ULUTEDONG,Kec. Ujung Loe,2,2,2,2,2,2,-,-,-,-,-,-,-
SD,SD NEGERI 29 BONTOMACINNA,Kec. Gantarang,1,1,2,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 80 BULUKUMPA,Kec. Bulukumpa,1,1,1,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 61 BALLEANGING,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 106 LABOJO,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 82 PALAMPANG,Kec. Rilau Ale,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 3 KASIMPURENG,Kec. Ujung Bulu,3,3,3,3,3,3,-,-,-,-,-,-,-
SD,SD NEGERI 160TARAMPANG,Kec. Bontobahari,1,2,2,1,1,2,-,-,-,-,-,-,-
SD,SD NEGERI 221 TANAHKONGKONG,Kec. Ujung Bulu,3,2,3,3,2,2,-,-,-,-,-,-,-
SD,SD NEGERI 136 SALOBUNDANG,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 92 PANGALLOANG,Kec. Rilau Ale,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 248 LAIKANG,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 298 CABALU,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 14 BABANA,Kec. Ujung Loe,2,2,2,2,2,2,-,-,-,-,-,-,-
SD,SD NEGERI 11 KALUMEME,Kec. Ujung Bulu,2,1,2,2,2,2,-,-,-,-,-,-,-
SD,SD NEGERI 304 BATUHULANG,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 69 ANNISIA,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 170 LIUKANG LOE,Kec. Bontobahari,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 68 TIBONA,Kec. Bulukumpa,1,1,2,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 240 HARUE,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 259 SAMBOANG,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 273 BORONGRAPPOA,Kec. Kindang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 232 DAMPANG,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 344 ALORANG,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 289 TALUMAYA,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI NO 93 MARANA,Kec. Rilau Ale,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 96 GALUNG BODDONG,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 303 PALIPUNGANG,Kec. Rilau Ale,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 237 LEMBANG,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 317 BORONG,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 140 KALERASANG,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 12 BABANA,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 119 KARASSING,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 322 ELA,Kec. Ujung Bulu,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 174 ANRIHUA,Kec. Kindang,2,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 314 MARANA,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 197 SAPOLOHE,Kec. Bontobahari,2,2,2,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 299 BONTO MACINNA,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 166 BIRA,Kec. Bontobahari,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 102 LAIKANG,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 292 BIRA,Kec. Bontobahari,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 28 BONTOMACINNA,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 308 BUNGAYA,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 278 PAKOMBONG,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 125 SALIBANG,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 156 KALUKUBODO,Kec. Bontobahari,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 43 MATTIROWALIE.,Kec. Kindang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 189 BARUGAE,Kec. Bulukumpa,2,1,2,2,2,1,-,-,-,-,-,-,-
SD,SD NEGERI 37 PALAMBARAE,Kec. Gantarang,2,2,2,2,2,2,-,-,-,-,-,-,-
SD,SD NEGERI 231 BONTONYELENG,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 54 CAMPAGA,Kec. Kindang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 275 GATTARENG,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 214 LOLISANG,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI NO 279 TALLE,Kec. Rilau Ale,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 272 BALLEANGING,Kec. Ujung Loe,2,1,1,1,2,1,-,-,-,-,-,-,-
SD,SD NEGERI 330 RAOE,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 230 PALAMBARAE,Kec. Gantarang,3,2,2,2,2,1,-,-,-,-,-,-,-
SD,SD NEGERI 121 EREINUNG,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 333 TIBONA,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 217 KARASSING,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 49 BORONGRAPPOA.,Kec. Kindang,1,1,2,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 268 JANNAKEKE,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 229 GATTARENG,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 32 BARABBA,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 114 MALLELENG,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 75 PETTUNGE,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 316 LASSANRU,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 78 BONTOA,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 115 BALAGANA,Kec. Kajang,1,1,1,1,1,2,-,-,-,-,-,-,-
SD,SD NEGERI 204 GATTARENG,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 155 TANAH BERU,Kec. Bontobahari,1,2,2,2,2,2,-,-,-,-,-,-,-
SD,SD NEGERI 207 DAMPANG,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 71 BARUGAE,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 243 ELLEE,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 8 NIPA,Kec. Ujung Bulu,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 285 DASSA,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 89 BATU KAROPA,Kec. Rilau Ale,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 338 JAMPANG,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 77 BONTOBAJU,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 235 BORONGRAPPOA,Kec. Kindang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 55 CIBOLLO,Kec. Kindang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 205 BONTOSUNGGU,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 193 TANUNTUNG,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 348 DOAJANG,Kec. Bontobahari,1,1,2,2,2,1,-,-,-,-,-,-,-
SD,SD NEGERI 195 EKATIRO,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SLB,SLBS ABCD DARMAWANITA HERLANG,Kec. Herlang,2,3,3,3,2,4,1,2,2,2,2,2,-
SLB,SLB NEGERI BULUKUMBA,Kec. Ujung Bulu,4,4,4,5,5,1,3,4,3,2,2,2,-
